id,block_type
0,minecraft:stone
1,minecraft:iron_ore
2,minecraft:gravel
3,minecraft:dirt
4,minecraft:gold_ore
5,minecraft:water
6,minecraft:coal_ore
7,minecraft:air
8,minecraft:lava
9,minecraft:sandstone
10,minecraft:sand
11,minecraft:dead_bush
12,minecraft:clay
13,minecraft:sugar_cane
14,minecraft:diamond_ore
15,minecraft:tall_grass
16,minecraft:short_grass
17,minecraft:cactus
18,minecraft:grass_block
19,minecraft:oak_leaves
20,minecraft:oak_fence
21,minecraft:cobweb
22,minecraft:oak_planks
23,minecraft:poppy
24,minecraft:dandelion
25,minecraft:oak_log
26,minecraft:pumpkin
27,minecraft:brown_mushroom
28,minecraft:cobblestone
